trajectory_id,environment,model,n_steps_total,critical_failure_module,failure_type,critical_failure_step,mean_memory_length,memory_proportion,memory_variability,mean_reflection_length,reflection_proportion,reflection_variability,mean_plan_length,plan_proportion,plan_variability,extraction_warnings,parse_errors
GPT-4o_013_alfworld_task_013,ALFWorld,gpt-4o,30,reflection,hallucination,14,90.93103448275862,0.2581750538476601,628.423645320197,145.0344827586207,0.41178774231447035,200.7487684729064,112.36666666666666,0.3300372038378696,133.48160919540229,,
GPT-4o_014_alfworld_task_014,ALFWorld,gpt-4o,30,reflection,causal_misattribution,2,102.55172413793103,0.2749375982250162,966.8990147783251,148.27586206896552,0.39752241841545716,304.92118226600985,118.1,0.32753998335952667,217.12758620689655,,
GPT-4o_015_alfworld_task_015,ALFWorld,gpt-4o,30,system,environment_error,1,122.17241379310344,0.31434655310087833,1003.7192118226601,141.31034482758622,0.3635879691243013,216.29310344827587,121,0.3220654777748203,301.1034482758621,,
GPT-4o_016_alfworld_task_016,ALFWorld,gpt-4o,30,system,step_limit,30,116.86206896551724,0.3296692607003891,1581.3374384236454,130.20689655172413,0.3673151750972763,388.384236453202,103.83333333333333,0.3030155642023346,224.00574712643677,,
GPT-4o_017_alfworld_task_017,ALFWorld,gpt-4o,30,system,environment_error,3,100.24137931034483,0.2845536413469068,712.7610837438424,139.75862068965517,0.3967306186374315,239.83251231527095,108.53333333333333,0.3187157400156617,109.70574712643678,,
GPT-4o_018_alfworld_task_018,ALFWorld,gpt-4o,30,action,misalignment,4,118.55172413793103,0.3064717418434659,2641.541871921182,148.3793103448276,0.38357996077732215,163.24384236453201,115.9,0.309948297379212,123.81724137931035,,
GPT-4o_019_alfworld_task_019,ALFWorld,gpt-4o,30,action,misalignment,7,97.51724137931035,0.31005372217958554,1414.5443349753696,122.13793103448276,0.3883346124328473,493.6231527093596,91.7,0.3016116653875672,276.7,,
GPT-4o_020_alfworld_task_020,ALFWorld,gpt-4o,30,reflection,outcome_misinterpretation,11,98.48275862068965,0.28488778054862846,742.615763546798,131.72413793103448,0.38104738154613466,717.4211822660099,111.63333333333334,0.3340648379052369,463.4126436781609,,
GPT-4o_021_alfworld_task_021,ALFWorld,gpt-4o,30,system,step_limit,30,106.41379310344827,0.2971593644679827,1339.8940886699506,139.79310344827587,0.3903707270101107,478.3128078817734,108.16666666666667,0.3124699085219066,210.14367816091954,,
GPT-4o_022_alfworld_task_022,ALFWorld,gpt-4o,30,plan,inefficient_plan,9,101.65517241379311,0.292837985497169,1344.8054187192117,135.17241379310346,0.3893910797655707,412.2192118226601,106.63333333333334,0.31777093473726037,192.65402298850574,,
GPT-4o_023_alfworld_task_023,ALFWorld,gpt-4o,30,memory,memory_retrieval_failure,8,96.96551724137932,0.275092936802974,448.39162561576353,141.86206896551724,0.4024652709841518,311.3374384236453,109.86666666666666,0.32244179221287417,161.6367816091954,,
GPT-4o_024_alfworld_task_024,ALFWorld,gpt-4o,30,reflection,progress_misjudge,9,104.48275862068965,0.31003785940857465,1249.6871921182267,128.0344827586207,0.3799242811828507,605.3916256157636,101,0.31003785940857465,340.2068965517241,,
GPT-4o_025_alfworld_task_025,ALFWorld,gpt-4o,30,action,misalignment,12,94.65517241379311,0.28767553971913645,830.8054187192118,129.79310344827587,0.39446656885348985,418.0270935960591,101.1,0.3178578914273737,150.50689655172414,,
GPT-4o_026_alfworld_task_026,ALFWorld,gpt-4o,30,reflection,outcome_misinterpretation,5,90.48275862068965,0.2652112391348292,707.8300492610838,140.27586206896552,0.4111582777440873,566.564039408867,106.73333333333333,0.3236304831210835,187.9264367816092,,
GPT-4o_027_alfworld_task_027,ALFWorld,gpt-4o,30,memory,over_simplification,3,118.6896551724138,0.31537474803005316,1261.7216748768474,141.0344827586207,0.3747480300531428,192.39162561576356,112.73333333333333,0.3098772219168041,110.54712643678161,,
GPT-4o_028_alfworld_task_028,ALFWorld,gpt-4o,30,planning,impossible_action,4,101.79310344827586,0.2835190165194007,1448.027093596059,143.06896551724137,0.39848252016903574,103.42364532019704,110.36666666666666,0.31799846331156356,97.82643678160919,,
GPT-4o_029_alfworld_task_029,ALFWorld,gpt-4o,30,memory,hallucination,21,96.27586206896552,0.27239024390243904,821.7783251231527,145.27586206896552,0.4110243902439024,172.42118226600985,108.16666666666667,0.31658536585365854,135.79885057471265,,
GPT-4o_030_alfworld_task_030,ALFWorld,gpt-4o,30,plan,constraint_ignorance,4,94.24137931034483,0.3074932493249325,1113.7610837438424,120.65517241379311,0.3936768676867687,512.3054187192118,88.53333333333333,0.2988298829882988,286.6712643678161,,
GPT-4o_031_alfworld_task_031,ALFWorld,gpt-4o,30,plan,impossible_action,10,112.62068965517241,0.2963971322261548,1166.4581280788177,149.3448275862069,0.3930483709955531,417.44827586206895,114.06666666666666,0.31055449677829206,116.06436781609196,,
GPT-4o_032_alfworld_task_032,ALFWorld,gpt-4o,30,memory,over_simplification,7,117.34482758620689,0.3080753213833062,2356.733990147783,144.44827586206895,0.3792323012855332,326.4704433497537,115.13333333333334,0.3126923773311606,155.56781609195403,,
GPT-4o_033_alfworld_task_033,ALFWorld,gpt-4o,30,memory,hallucination,10,99.93103448275862,0.291461329578598,839.9950738916256,136.0344827586207,0.39676154078246,281.0344827586207,103.33333333333333,0.311777129638942,172.02298850574712,,
GPT-4o_034_alfworld_task_034,ALFWorld,gpt-4o,30,reflection,progress_misjudge,14,102.79310344827586,0.2823184013637655,728.0985221674877,145.31034482758622,0.39909082299460175,256.7216748768473,112.13333333333334,0.31859077564163274,279.08505747126435,,
GPT-4o_035_alfworld_task_035,ALFWorld,gpt-4o,30,reflection,progress_misjudge,24,85,0.25890137590589224,518.9285714285714,134.13793103448276,0.4085705283058502,350.8374384236453,105.53333333333333,0.33252809578825754,320.05057471264365,,
GPT-4o_036_alfworld_task_036,ALFWorld,gpt-4o,30,reflection,progress_misjudge,10,85.96551724137932,0.2594442709959413,504.10591133004925,135.17241379310346,0.4079508793839109,354.4334975369458,106.53333333333333,0.3326048496201478,102.11954022988506,,
GPT-4o_037_alfworld_task_037,ALFWorld,gpt-4o,30,memory,hallucination,2,99.10344827586206,0.26260964912280704,635.2389162561576,153.55172413793105,0.40688961988304095,177.4704433497537,120.56666666666666,0.33050073099415206,109.01264367816091,,
GPT-4o_038_alfworld_task_038,ALFWorld,gpt-4o,30,planning,impossible_action,22,110.86206896551724,0.306219639965711,975.551724137931,137.0344827586207,0.378512239260882,209.7487684729064,110.33333333333333,0.315268120773407,284.4367816091954,,
GPT-4o_039_alfworld_task_039,ALFWorld,gpt-4o,30,memory,over_simplification,4,102.75862068965517,0.29039173650360556,894.4039408866995,136.31034482758622,0.3852075618787761,401.935960591133,110.96666666666667,0.3244007016176184,250.86091954022987,,
GPT-4o_040_alfworld_task_040,ALFWorld,gpt-4o,30,planning,impossible_action,7,101.93103448275862,0.2938954066414794,1058.423645320197,133.93103448275863,0.3861602704314973,494.5665024630542,107.26666666666667,0.31994432292702324,325.51264367816094,,
GPT-4o_041_alfworld_task_041,ALFWorld,gpt-4o,30,memory,over_simplification,4,110.6896551724138,0.30650243483242623,1631.6502463054187,137.3448275862069,0.38031127661606035,472.5197044334975,109.33333333333333,0.3131862885515134,226.50574712643677,,
GPT-4o_043_alfworld_task_043,ALFWorld,gpt-4o,30,reflection,progress_misjudge,6,102.34482758620689,0.2844819323301064,1870.0911330049262,143.82758620689654,0.3997891306431515,366.07635467980293,109.8,0.3157289370267421,360.99310344827586,,
GPT-4o_047_alfworld_task_047,ALFWorld,gpt-4o,30,memory,over_simplification,10,119.86206896551724,0.3004581208401763,1633.051724137931,151.86206896551724,0.38067248681822113,305.6231527093596,122.96666666666667,0.31886939234160255,96.1712643678161,,
GPT-4o_048_alfworld_task_048,ALFWorld,gpt-4o,30,reflection,progress_misjudge,26,106.20689655172414,0.29862323056040335,1245.027093596059,137.27586206896552,0.38598022105875507,347.2068965517241,108.43333333333334,0.3153965483808416,268.667816091954,,
GPT-4o_049_alfworld_task_049,ALFWorld,gpt-4o,30,memory,over_simplification,9,126.27586206896552,0.31123576406595277,2117.6354679802957,151.86206896551724,0.3742988271290158,237.69458128078819,123.33333333333333,0.31446540880503143,209.4022988505747,,
GPT-4o_052_alfworld_task_052,ALFWorld,gpt-4o,30,plan,inefficient_plan,21,98.3103448275862,0.29292099044487824,791.7216748768473,131.31034482758622,0.3912462755573821,397.435960591133,102.46666666666667,0.31583273399773965,96.11954022988506,,
GPT-4o_053_alfworld_task_053,ALFWorld,gpt-4o,30,reflection,outcome_misinterpretation,15,106.86206896551724,0.28777045222397624,967.9088669950739,145.55172413793105,0.39195839910855235,441.11330049261085,114.96666666666667,0.3202711486674715,152.99885057471263,,
GPT-4o_054_alfworld_task_054,ALFWorld,gpt-4o,30,plan,inefficient_plan,24,105.86206896551724,0.2926596758817922,1149.1231527093596,137.48275862068965,0.38007626310772163,561.1871921182266,114.43333333333334,0.32726406101048616,315.56436781609193,,
GPT-4o_055_alfworld_task_055,ALFWorld,gpt-4o,30,reflection,progress_misjudge,6,87.75862068965517,0.279824079164376,356.7610837438424,125.6896551724138,0.4007696536558549,420.1502463054187,96.83333333333333,0.3194062671797691,272.21264367816093,,
GPT-4o_056_alfworld_task_056,ALFWorld,gpt-4o,30,plan,impossible_action,4,109.20689655172414,0.2932678951754792,461.66995073891627,146.10344827586206,0.39235114362440965,166.5960591133005,113.16666666666667,0.3143809612001111,133.38505747126436,,
Llama3.3-70B-Turbo_001_001,ALFWorld,llama-70b,30,plan,,10,155.72413793103448,0.3723614775725594,794.7783251231527,129.93103448275863,0.3106860158311346,411.70935960591135,128.13333333333333,0.3169525065963061,1170.3264367816091,,
Llama3.3-70B-Turbo_002_002,ALFWorld,llama-70b,30,plan,,11,130.3448275862069,0.3316953316953317,806.8768472906404,127.89655172413794,0.32546507546507547,323.0960591133005,130.23333333333332,0.34283959283959287,746.7367816091954,,
Llama3.3-70B-Turbo_003_003,ALFWorld,llama-70b,30,plan,,4,130.55172413793105,0.3371326803205699,395.8990147783251,128.20689655172413,0.3310774710596616,635.2413793103449,124.2,0.33178984861976846,747.9586206896552,,
Llama3.3-70B-Turbo_004_004,ALFWorld,llama-70b,30,action,,15,174.75862068965517,0.4225798382389727,3268.2610837438424,120.41379310344827,0.2911698490786292,529.6083743842364,114.43333333333334,0.2862503126823981,1152.3229885057472,,
Llama3.3-70B-Turbo_005_005,ALFWorld,llama-70b,30,plan,,3,166.58620689655172,0.38466438410701487,1356.179802955665,135.51724137931035,0.3129230034238395,292.2586206896552,126.6,0.30241261246914564,443.28275862068966,,
Llama3.3-70B-Turbo_006_006,ALFWorld,llama-70b,30,plan,,7,146.20689655172413,0.3505291005291005,916.3128078817734,127.96551724137932,0.30679563492063494,281.6773399014778,138.16666666666666,0.34267526455026454,1681.7298850574712,,
Llama3.3-70B-Turbo_007_007,ALFWorld,llama-70b,30,plan,,3,145.3793103448276,0.37102877761154623,1111.6724137931035,122.62068965517241,0.31294552494939715,384.9581280788177,119.7,0.31602569743905656,1475.5275862068966,,
Llama3.3-70B-Turbo_008_008,ALFWorld,llama-70b,30,action,,2,133.31034482758622,0.371088500671914,4207.935960591133,114.10344827586206,0.3176233442119409,301.95320197044333,108.1,0.31128815511614516,1370.989655172414,,
Llama3.3-70B-Turbo_009_009,ALFWorld,llama-70b,30,action,,3,136.72413793103448,0.36651876502126085,1993.3497536945813,114.13793103448276,0.3059715289332594,373.4802955665025,118.1,0.32750970604547974,1225.1275862068965,,
Llama3.3-70B-Turbo_010_010,ALFWorld,llama-70b,30,action,,4,143.20689655172413,0.35959823361329984,1102.9556650246304,121.72413793103448,0.30565416919213784,563.8497536945813,128.86666666666667,0.3347475971945623,991.9816091954023,,
Llama3.3-70B-Turbo_011_011,ALFWorld,llama-70b,30,action,,3,137.20689655172413,0.36304744525547444,900.6699507389162,120.03448275862068,0.3176094890510949,362.820197044335,116.66666666666667,0.3193430656934307,1291.8850574712644,,
Llama3.3-70B-Turbo_012_012,ALFWorld,llama-70b,30,plan,,24,139.51724137931035,0.3469090285518306,989.9729064039409,129.58620689655172,0.32221555345965874,619.3226600985222,128.63333333333333,0.33087541798851067,1341.964367816092,,
Llama3.3-70B-Turbo_013_013,ALFWorld,llama-70b,30,action,,4,141.72413793103448,0.3398379361666942,466.7068965517241,134.06896551724137,0.3214817264759385,312.63793103448273,136.53333333333333,0.3386803373573673,1258.1885057471263,,
Llama3.3-70B-Turbo_014_014,ALFWorld,llama-70b,30,memory,,10,134.20689655172413,0.3655146506386176,1216.0985221674878,116.34482758620689,0.3168670172802404,242.3768472906404,112.73333333333333,0.317618332081142,1265.0298850574713,,
Llama3.3-70B-Turbo_015_037,ALFWorld,llama-70b,30,action,,2,148.48275862068965,0.36472979840758935,1102.472906403941,124.41379310344827,0.30560731831272236,349.9655172413793,129.73333333333332,0.3296628832796883,1313.9264367816093,,
Llama3.3-70B-Turbo_016_043,ALFWorld,llama-70b,30,action,,2,160.20689655172413,0.3571648216482165,1090.6699507389162,137.55172413793105,0.30665744157441577,550.1847290640394,145.76666666666668,0.3361777367773678,920.4609195402298,,
Llama3.3-70B-Turbo_017_044,ALFWorld,llama-70b,30,plan,,4,137.55172413793105,0.355747792740569,1351.256157635468,120.55172413793103,0.31178096851868364,353.25615763546796,124.26666666666667,0.33247123874074735,1383.7885057471265,,
Llama3.3-70B-Turbo_018_045,ALFWorld,llama-70b,30,action,,1,127,0.3579203109815355,1114.2142857142858,113.96551724137932,0.32118561710398447,511.1773399014778,110.06666666666666,0.32089407191448005,1812.8919540229886,,
Llama3.3-70B-Turbo_019_054,ALFWorld,llama-70b,30,memory,,5,127.86206896551724,0.34599234860502004,475.55172413793105,121.20689655172414,0.3279835774937016,215.66995073891624,116.46666666666667,0.32602407390127836,678.4643678160919,,
Llama3.3-70B-Turbo_020_057,ALFWorld,llama-70b,30,action,,2,144.6551724137931,0.3702232812637896,1599.3768472906404,120.44827586206897,0.3082693495719707,303.1847290640394,121.43333333333334,0.3215073691642397,810.7367816091954,,
Llama3.3-70B-Turbo_021_059,ALFWorld,llama-70b,30,plan,,3,183.89655172413794,0.4057982042307107,4146.810344827586,134.82758620689654,0.29751940343935473,577.1477832512315,129.96666666666667,0.29668239232993454,1518.6540229885059,,
Llama3.3-70B-Turbo_022_064,ALFWorld,llama-70b,30,reflection,,16,147.20689655172413,0.37332750327940534,3580.4556650246304,122.55172413793103,0.3108001749016178,233.89901477832512,120.4,0.31587232181897684,1012.0413793103448,,
Llama3.3-70B-Turbo_023_065,ALFWorld,llama-70b,30,memory,,3,147.44827586206895,0.37981879552318354,2048.3275862068967,118.13793103448276,0.304316930182981,393.1231527093596,118.53333333333333,0.3158642742938355,895.1540229885057,,
Qwen3-8B_001_id_1___chat_b000_t00_e01-5b8f974f,ALFWorld,qwen3-8b,30,system,step_limit,30,92.27586206896552,0.3833810888252149,388.3497536945813,71.17241379310344,0.295702005730659,148.29064039408868,74.66666666666667,0.3209169054441261,126.4367816091954,,
Qwen3-8B_002_id_2___chat_b000_t00_e04-7e3c13ba,ALFWorld,qwen3-8b,30,plan,inefficient_plan,5,112.10344827586206,0.41915936049510055,437.5960591133005,80.58620689655173,0.3013151108818979,249.60837438423644,72.26666666666667,0.27952552862300156,230.5471264367816,,
Qwen3-8B_003_id_3___chat_b001_t00_e01-5b8f974f,ALFWorld,qwen3-8b,30,plan,inefficient_plan,4,110.3103448275862,0.39290100712355686,356.435960591133,90.10344827586206,0.32092851879145173,540.167487684729,77.66666666666667,0.2861704740849914,290.4367816091954,,
Qwen3-8B_004_id_4___chat_b001_t00_e02-1e119842,ALFWorld,qwen3-8b,30,system,step_limit,30,85.62068965517241,0.36147910904061725,197.5295566502463,75.06896551724138,0.31693113990391614,216.7807881773399,73.63333333333334,0.3215897510554666,249.2057471264368,,
Qwen3-8B_005_id_5___chat_b004_t00_e02-1e119842,ALFWorld,qwen3-8b,30,system,step_limit,30,87.62068965517241,0.39840075258701785,132.60098522167488,63.55172413793103,0.28896205707118217,136.4704433497537,66.46666666666667,0.31263719034179993,175.91264367816092,,
Qwen3-8B_006_id_6___chat_b004_t00_e03-d2034edc,ALFWorld,qwen3-8b,30,plan,inefficient_plan,1,85.93103448275862,0.37077815801220054,294.85221674876846,69.37931034482759,0.2993602142538313,193.17241379310346,73.9,0.32986162773396815,821.0586206896552,,
Qwen3-8B_007_id_7___chat_b005_t00_e00-d3248f80,ALFWorld,qwen3-8b,30,system,step_limit,30,86.17241379310344,0.37209648600357353,213.79064039408868,70.17241379310344,0.30300774270399045,104.93349753694581,72.73333333333333,0.32489577129243596,212.34022988505748,,
Qwen3-8B_008_id_8___chat_b005_t00_e00-d3248f80,ALFWorld,qwen3-8b,30,reflection,outcome_misinterpretation,3,86.17241379310344,0.37209648600357353,213.79064039408868,70.17241379310344,0.30300774270399045,104.93349753694581,72.73333333333333,0.32489577129243596,212.34022988505748,,
Qwen3-8B_009_id_9___chat_b005_t00_e03-d2034edc,ALFWorld,qwen3-8b,30,system,,30,85.51724137931035,0.3650279658522225,164.61576354679804,69.93103448275862,0.29849867530173685,228.20935960591132,76.2,0.3364733588460406,139.8206896551724,,
Qwen3-8B_010_id_10___chat_b005_t00_e04-7e3c13ba,ALFWorld,qwen3-8b,30,plan,inefficient_plan,13,80.37931034482759,0.35026296018031555,333.6009852216749,74.13793103448276,0.3230653643876784,469.9802955665025,72.46666666666667,0.32667167543200604,245.98160919540229,,
Qwen3-8B_011_id_11___chat_b006_t00_e01-5b8f974f,ALFWorld,qwen3-8b,30,system,,30,81.10344827586206,0.37156398104265403,269.95320197044333,66.06896551724138,0.3026856240126382,195.13793103448276,68.73333333333333,0.32575039494470776,141.8574712643678,,
Qwen3-8B_012_id_12___chat_b006_t00_e02-1e119842,ALFWorld,qwen3-8b,30,reflection,progress_misjudge,8,88.20689655172414,0.3809381980640357,186.16995073891624,78.34482758620689,0.3383469843633656,178.8768472906404,62.833333333333336,0.28071481757259864,361.45402298850576,,
Qwen3-8B_013_id_13___chat_b007_t00_e01-5b8f974f,ALFWorld,qwen3-8b,30,plan,constraint_ignorance,8,104.20689655172414,0.3922128487994809,586.5270935960591,89.03448275862068,0.33510707332900713,611.6059113300493,70.03333333333333,0.272680077871512,732.7919540229885,,
Qwen3-8B_014_id_14___chat_b007_t00_e02-1e119842,ALFWorld,qwen3-8b,30,plan,inefficient_plan,11,85.41379310344827,0.3839714772903426,321.89408866995075,67.62068965517241,0.3039838784684545,117.17241379310344,67.1,0.31204464424120293,189.88620689655173,,
Qwen3-8B_015_id_15___chat_b008_t00_e00-d3248f80,ALFWorld,qwen3-8b,30,system,step_limit,30,74.82758620689656,0.3484824152882608,181.07635467980296,68.34482758620689,0.318291312028264,211.16256157635468,69.16666666666667,0.3332262726834752,234.2816091954023,,
Qwen3-8B_016_id_16___chat_b008_t00_e03-d2034edc,ALFWorld,qwen3-8b,30,reflection,outcome_misinterpretation,3,88.41379310344827,0.3890153239265665,356.60837438423647,68.24137931034483,0.30025792747686236,184.76108374384236,68.26666666666667,0.31072674859657107,150.82298850574713,,
Qwen3-8B_017_id_17___chat_b009_t00_e01-5b8f974f,ALFWorld,qwen3-8b,30,reflection,outcome_misinterpretation,10,108.65517241379311,0.411733960538351,485.80541871921184,82.3103448275862,0.31190382856396187,383.935960591133,70.5,0.2763622108976872,373.01724137931035,,
Qwen3-8B_018_id_18___chat_b009_t00_e03-d2034edc,ALFWorld,qwen3-8b,30,reflection,causal_misattribution,4,101.62068965517241,0.400516444686056,242.10098522167488,78.79310344827586,0.31054634411524873,142.3128078817734,70.86666666666666,0.2889372111986953,149.15402298850574,,
Qwen3-8B_019_id_19___chat_b012_t00_e00-d3248f80,ALFWorld,qwen3-8b,30,plan,constraint_ignorance,6,86.17241379310344,0.3679328621908127,267.7192118226601,71.44827586206897,0.3050647820965842,225.6847290640394,74.03333333333333,0.32700235571260305,318.516091954023,,
Qwen3-8B_020_id_20___chat_b012_t00_e01-5b8f974f,ALFWorld,qwen3-8b,30,action,invalid_action,22,98.62068965517241,0.3900709219858156,791.3866995073892,77.3103448275862,0.3057828696126568,324.5073891625616,74.33333333333333,0.30414620840152756,375.0574712643678,,
Qwen3-8B_021_id_21___chat_b012_t00_e02-1e119842,ALFWorld,qwen3-8b,30,plan,inefficient_plan,5,78.86206896551724,0.35298657200185213,131.90886699507388,70.03448275862068,0.3134743015897515,183.82019704433498,72.03333333333333,0.33353912640839634,209.89540229885057,,
Qwen3-8B_022_id_22___chat_b012_t00_e04-7e3c13ba,ALFWorld,qwen3-8b,30,reflection,causal_misattribution,5,100.37931034482759,0.4025722583321809,323.9581280788177,70.10344827586206,0.2811506015765454,183.16748768472905,76.23333333333333,0.31627714009127367,164.0471264367816,,
Qwen3-8B_023_id_23___chat_b013_t00_e00-d3248f80,ALFWorld,qwen3-8b,30,plan,inefficient_plan,4,91.48275862068965,0.3955568808707321,306.2586206896552,67.03448275862068,0.2898464291039213,114.17733990147784,70.33333333333333,0.3145966900253466,143.4022988505747,,
Qwen3-8B_024_id_24___chat_b013_t00_e01-5b8f974f,ALFWorld,qwen3-8b,30,system,step_limit,30,79.86206896551724,0.35165502581232916,333.9802955665025,71.10344827586206,0.31308836926814454,218.23891625615764,73.6,0.33525660491952625,480.5931034482759,,
Qwen3-8B_025_id_25___chat_b013_t00_e03-d2034edc,ALFWorld,qwen3-8b,30,plan,constraint_ignorance,26,97.06896551724138,0.3840381991814461,425.13793103448273,79.51724137931035,0.3145975443383356,359.2586206896552,73.63333333333334,0.3013642564802183,133.34367816091955,,
Qwen3-8B_026_id_26___chat_b014_t00_e04-7e3c13ba,ALFWorld,qwen3-8b,30,plan,inefficient_plan,1,92.6896551724138,0.3840548649807115,322.6502463054187,72.34482758620689,0.2997571081583083,153.09113300492612,73.76666666666667,0.31618802686098013,100.94367816091955,,
Qwen3-8B_027_id_27___chat_b015_t00_e02-1e119842,ALFWorld,qwen3-8b,30,reflection,,23,90.82758620689656,0.36989186911950567,389.86206896551727,78.06896551724138,0.31793287459626457,263.0665024630542,74.1,0.31217525628422976,268.71379310344827,,
GPT-4o_001_memory_b000_t00_e00-7743eba0,GAIA,gpt-4o,30,planning,inefficient_plan,5,125.64285714285714,0.38890117178863587,381.0529100529101,96.71428571428571,0.29935883263320806,146.58201058201058,97.24137931034483,0.31173999557815607,326.4039408866995,,
GPT-4o_002_memory_b000_t00_e01-7ab08a46,GAIA,gpt-4o,30,action,misalignment,3,122.64285714285714,0.3458207452165156,1790.904761904762,118.57142857142857,0.33434038267875127,546.4021164021163,109.51724137931035,0.3198388721047331,277.1871921182266,,
GPT-4o_003_memory_b000_t00_e03-21a3a421,GAIA,gpt-4o,1,planning,inefficient_plan,3,,0.0,,,0.0,,142,1.0,,NO_MEMORY_TAGS_FOUND;NO_REFLECTION_TAGS_FOUND,
GPT-4o_004_memory_b000_t00_e04-5e8c1dcf,GAIA,gpt-4o,1,planning,constraint_ignorance,1,,0.0,,,0.0,,189,1.0,,NO_MEMORY_TAGS_FOUND;NO_REFLECTION_TAGS_FOUND,
GPT-4o_005_memory_b000_t00_e05-c9015705,GAIA,gpt-4o,5,planning,inefficient_plan,1,87.25,0.32314814814814813,1074.9166666666667,80.75,0.29907407407407405,226.25,102,0.37777777777777777,1681.3333333333333,,
GPT-4o_006_memory_b000_t00_e06-71f77595,GAIA,gpt-4o,22,memory,over_simplification,3,85.33333333333333,0.3140553803014371,352.6333333333333,95.57142857142857,0.35173501577287064,257.0571428571429,86.68181818181819,0.33420960392569227,298.22727272727275,,
GPT-4o_007_memory_b000_t00_e08-f572f2ad,GAIA,gpt-4o,4,memory,over_simplification,2,94,0.3092105263157895,417,90.66666666666667,0.2982456140350877,102.33333333333333,119.33333333333333,0.3925438596491228,616.3333333333334,,
GPT-4o_008_memory_b000_t00_e09-f0557a9f,GAIA,gpt-4o,30,planning,impossible_action,5,143.53571428571428,0.41169842245441507,629.8875661375662,101.78571428571429,0.29194837123540257,76.47089947089947,99.75862068965517,0.29635320631018236,200.18965517241378,,
GPT-4o_009_memory_b001_t00_e01-7ab08a46,GAIA,gpt-4o,17,planning,inefficient_plan,8,115.5,0.39495618721949133,306.53333333333336,88.4375,0.3024150459499893,197.8625,88.5,0.30262876683051937,485.2,,
GPT-4o_010_memory_b001_t00_e02-8d639e26,GAIA,gpt-4o,30,planning,impossible_action,4,128.28571428571428,0.41263641585295807,280.73015873015873,89.42857142857143,0.28765077541642736,79.58730158730158,89.96551724137932,0.29971280873061457,101.32019704433498,,
